;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames;Le diable est mort
;;;;;;;;;DEPOT SURNOM : >;ames;diable
;;;;;;;;;DEPOT TYPE : >;Flyer;Brochure
;;;Maison des Pratiques amateurs;100 rue Didot;75014;;;;;15;10
;;;CENTRE DE DANSE ALESIA;119 avenue du Général Leclerc;75014;;;;;15;10
;;;CENTRE D'ANIMATION MARC SANGNIER;20 avenue Marc sangnier;75014;;;;;15;10
;;;LE MOULIN À CAFÉ;9 place de la Garenne;75014;;;;;15;10
;;;MAIRIE DU 14e ARRONDISSEMENT;Place Ferdinand Brunot;75014;;;;;15;10
;;;THEATRE GUICHET MONTPARNASSE;15 rue du Maine;75014;;;;;15;10
;;;ECOLE DE CONDÉ;58/60 Bd Garibaldi;75015;;;;;15;10
;;;ENSAAMA OLIVIER DE SERRES;63/65 Rue Olivier de Serres;75015;;;;;15;10
;;;KIOSQUE JEUNES CDM;101 quai Branly;75015;;;;;15;10
;;;LE MONFORT;Parc Georges Brassens;75015;;;;;15;10
;;;UNIVERSITE PARIS 1 - SAINT CHARLES;47-53 rue des bergers;75015;;;;;15;10
;;;PALAIS DE TOKYO;13 avenue du Président Wilson;75016;;;;;15;10
;;;CENTRE NATIONAL DU THÉÂTRE;134 rue Legendre;75017;;;;;15;10
;;;ESAT;10 Bd Des Batignolles  ;75017;;;;;15;10
;;;L'ETOILE DU NORD;16, rue Georgette Agutte;75018;;;;;15;10
;;;CENTRE D’ANIMATION RENÉ BINET;66 rue René Binet;75018;;;;;15;10
;;;CONSERVATOIRE 18EME G. CHARPENTIER;29 rue beaudelique;75018;;;;;15;10
;;;HALLE SAINT PIERRE;2,rue Ronsard;75018;;;;;15;10
;;;KIOSQUE JEUNES GOUTTE D'OR;Hall du centre musical Fleury Goutte d'Or;75018;;;;;15;10
;;;LE GRAND PARQUET;Jardins d'éole;75018;;;;;15;10
;;;AFEDAP;15 Rue Henri Murgier;75019;;;;;15;10
;;;ART SCHOOL;7 Rue D’hautpoul;75019;;;;;15;10
;;;CENTRE D'ANIMATION PLACE DES FÊTES;2-4 rue des Lilas;75019;;;;;15;10
;;;CENTRE D’ANIMATION MATHIS;15 Rue Mathis;75019;;;;;15;10
;;;COURS FLORENT;37/39 avenue Jean-Jaurès;75019;;;;;15;10
;;;ESPACE PÉRIPHÉRIQUE;211 avenue Jean Jaurès;75019;;;;;15;10
;;;L’ATELIER DU PLATEAU;5 rue du Plateau;75019;;;;;15;10
;;;LE MERLE MOQUEUR - LIBRAIRIE DU 104;104 rue d'Aubervilliers;75019;;;;;10;10
;;;LE PARC DE LA VILLETTE;211 avenue Jean Jaurès;75019;;;;;15;10
;;;LE PLATEAU;Place Hannah Arendt;75019;;;;;15;10
;;;LIBRAIRIE DU PARC;221 av Jean Jaurès;75019;;;;;15;10
;;;ROSA BONHEUR;Parc des Buttes Chaumont;75019;;;;;15;10
;;;WIP VILLETTE;211 avenue Jean Jaurès;75019;;;;;10;10
;;;AFDAS;66/72 rue Stendhal;75020;;;;;10;10
;;;ATELIER AZOLINE;106 rue Pelleport;75020;;;;;10;10
;;;CONFLUENCES;190 Bd de Charonne;75020;;;;;15;10
;;;CONSERVATOIRE GEORGES BIZET;54 rue des Cendriers;75020;;;;;15;10
;;;EQUIPAGES;61 rue de Bagnolet;75020;;;;;15;10
;;;ESPACE OXYGÈNE;4 impasse Cordon Boussard ;75020;;;;;15;10
;;;L’ATELIER D’EN FACE;3, rue Constant Berthaud;75020;;;;;15;10
;;;LA COLLINE;15 rue Malte Brun;75020;;;;;15;10
;;;LE MERLE MOQUEUR;51, rue de Bagnolet;75020;;;;;15;10
;;;LE TARMAC;159 Av Gambetta;75020;;;;;15;10
;;;MPAA SAINT-BLAISE;37/39 rue Saint-Blaise ;75020;;;;;15;10
;;;THÉÂTRE AUX MAINS NUES;7 Square des Cardeurs;75020;;;;;15;10
