;;;;;;;;;DEPOT NOM : >;Unis vers cités
;;;;;;;;;DEPOT SURNOM : >;vers
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
Ok;inconnu;;CENTRE DE DANSE ALESIA;119 avenue du Général Leclerc;75014;PARIS;;AUBRY;;20
non localisé;inconnu;;CENTRE D'ANIMATION MARC SANGNIER;20 avenue Marc sangnier;75014;PARIS;;;;20
Ok;inconnu;;BIBLIOTHEQUE VANDAMNE;80, avenue du Maine;75014;PARIS;;ESPAGNET;;20
Ok;inconnu;;LE MOULIN À CAFÉ;9 place de la Garenne;75014;PARIS;;Lem;;20
Ok;inconnu;;MAIRIE DU 14e ARRONDISSEMENT;Place Ferdinand Brunot;75014;PARIS;;LEGUENNEC;;20
non localisé;inconnu;;MAIRIE DU 14e ARRONDISSEMENT;Place Ferdinand Brunot;75014;PARIS;;FLAMENT;;20
Ok;inconnu;;THEATRE GUICHET MONTPARNASSE;15 rue du Maine;75014;PARIS;;;;20
Ok;ouvert;800;CONSERVATOIRE FREDERIC CHOPIN;43 rue Bargue;75015;PARIS;;;;20
Ok;inconnu;;CENTRE D'ANIMATION BRANCION / PARIS 15;18 av de la porte Brancion;75015;PARIS;;;;20
Ok;inconnu;;ENSAAMA Bibliothèque;63 rue Olivier de Serres;75015;PARIS;;LAMPEL;;20
Ok;inconnu;;Théâtre Monfort;106 rue Brancion;75015;PARIS;;MORISSON;;20
Ok;ouvert;604;CONSERVATOIRE FRANCIS POULENC;11 rue Jean de La Fontaine;75016;PARIS;;;;20
Ok;inconnu;;CENTRE NATIONAL DU THEATRE;134 rue Legendre;75017;PARIS;;BERNARDIE;;20
Ok;ouvert;606;CENTRE D'ANIMATION La JONQUIERE;88 Rue de La Jonquiere;75017;PARIS;;;;20
non localisé;inconnu;;CONSERVATOIRE CLAUDE DEBUSSY;222 rue Courcelles;75017;PARIS;;;;20
non localisé;inconnu;;ACADÉMIE DES ARTS CHOREGRAPHIQUES;4 BIS Cité Véron;75018;PARIS;;;;20
non localisé;inconnu;;THEATRE OUVERT;4 bis cité Véron;75018;PARIS;;;;20
Ok;inconnu;;RIDC : Rencontres Internationales de Danse Contemporaine;27 rue Ganneron;75018;PARIS;;;;20
non localisé;inconnu;;ETOILE DU NORD;16 rue Georgette Agutte;75018;PARIS;;DESLOGES;;20
Ok;ouvert;802;CONSERVATOIRE GUSTAVE CHARPENTIER;29 rue Baudelique;75018;PARIS;;;;20
non localisé;inconnu;;Kiosque Jeune CIDJ;1 rue Fleury;75018;PARIS;;;;20
Ok;inconnu;;Association Cirkoum;15, Passage Ramey;75018;PARIS;;;;20
non localisé;inconnu;;Le BAL;18 impasse La défense;75018;Paris;;MEUDIC;;20
non localisé;inconnu;;ATLA;12, villa de Guelma ;75018;Paris;;Rolland;;20
Ok;ouvert;820;LE 104 ;5 rue curial;75019;PARIS;;VERGNE;;20
Ok;ouvert;804;Cours Florent;37-39 av Jean Jaurès ;75019;PARIS;;COUDURIER;;20
Ok;ouvert;700;F.R.A.C. LE PLATEAU; rue des alouettes;75019;PARIS;;Fabre;;20
inconnu;inconnu;897;Conservatoire national supérieur de musique et de danse;209 avenue Jean-Jaurès;75019;PARIS;;;;20
Ok;inconnu;;Cité de la Musique - Accueil A;221, avenue Jean Jaurès;75019;PARIS;;Chatenoud;;20
Ok;ouvert;809;CONSERVATOIRE JACQUES IBERT;81 rue Armand Carrel;75019;PARIS;;;;20
Ok;inconnu;;Grande Halle de la Villette;211 avenue Jean Jaures;75019;paris;;;;100
Ok;inconnu;;Centre d'animation Curial;38 av de flandre;75019;PARIS;;MOLNAR;;20
Ok;ouvert;703;la BELLEVILLOISE;19-21 rue Boyer;75020;PARIS;;;;20
Ok;ouvert;810;CONFLUENCES (association culturelle );190 bd de Charonne;75020;PARIS;;Linossier;;20
Ok;inconnu;;Médiathèque Marguerite Duras;115 rue de Bagnolet;75020;PARIS;;;;20
Ok;inconnu;;THEATRE DE MENILMONTANT;15 rue du retrait;75020;PARIS;;;;20
Ok;ouvert;704;LA MAROQUINERIE;23 rue Boyer;75020;PARIS;;DECLEIRE;;20
Ok;inconnu;;Ecole de THEATRE LES ENFANTS TERRIBLES;157 rue Pelleport;75020;PARIS;;FEITUSSI;;20
non localisé;inconnu;;Association L'Aquilone;1-3 rue Frederic Lemaitre;75020;PARIS;;FONTANA;;20
inconnu;inconnu;904;BIBLIOTHEQUE ST FARGEAU;12 rue du Télégraphe;75020;PARIS;;SARTIAUX;;20
Ok;inconnu;;ESPACE OXYGENE;4 Impasse Cordon Boussard;75020;PARIS;;TEXIER;;20
non localisé;inconnu;;Musée d'Art Moderne de la ville de Paris;9 rue Gaston de Saint Paul;75116;PARIS;;MARQUÈS;;20
non localisé;inconnu;;CENTRE NATIONAL DU CINEMA;12 rue de Lubeck;75116;PARIS;;PANDIANI;;20
non localisé;inconnu;;Palais de Tokyo;2, rue de la Manutention;75116;PARIS;;WOLFF;;20
inconnu;inconnu;909;Nouveau Théâtre de Montreuil;10 Place Jean Jaurès;93100;MONTREUIL;;GARCIA;;20
non localisé;inconnu;;THEATRE L'ECHANGEUR;59 av du Gal de Gaulle;93170;BAGNOLET;;LEBIGOT;;20
Ok;inconnu;;LE SAMOVAR;165 avenue Pasteur;93170;BAGNOLET;;MAHE;;20
non localisé;inconnu;;La dynamo;9 rue Gabrielle Josserand;93500;PANTIN ;;VIGNY;;20
non localisé;inconnu;;CND/ servic développement des publics;1 rue Victor Hugo;93507;PANTIN;;CAVALUCCI;;20
