;;;;;;;;;DEPOT NOM : >;Les metaleux ont une ames
;;;;;;;;;DEPOT SURNOM : >;metaleux
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
;;;CENTRE D'ANIMATION CHARLES HERMITE;54, Boulevard Ney;75018;PARIS;;;;20
;;;CENTRE D'ANIMATION GOUTTE D'OR;6, rue de la Goutte d'Or;75018;PARIS;;;;20
;;;CENTRE D'ANIMATION LES ABBESSES;10, Passage des Abbesses;75018;PARIS;;;;20
;;;CENTRE SOCIAL ACCUEIL GOUTTE D'OR;26 rue de Laghouat;75018;PARIS;;;;20
;;;CENTRE SOCIAL CEFIA;18 rue Jacques Kellner;75018;PARIS;;;;20
;;;CENTRE SOCIAL ESPACE TORCY - ENS;2 rue de Torcy;75018;PARIS;;;;20
;;;CENTRE MUSICAL FLEURY GOUTTE D'OR - BARBARA;1 rue de Fleury;75018;PARIS;;;;20
;;;ICI - INSTITUT DES CULTURES D'ISLAM;19-23 rue Léon;75018;PARIS;;;;20
;;;LE BAL;6, Impasse de la Défense;75018;PARIS;;;;20
;;;LES TROIS BAUDETS;64  bd de Clichy;75018;PARIS;;;;20
;;;L'ÉTOILE DU NORD;16, rue Georgette Agutte;75018;PARIS;;;;20
;;;THÉATRE OUVERT - CDN;Jardin d'Hiver 4 bis, cité Véron;75018;PARIS;;;;20
;;;MUSÉE DE LA HALLE ST-PIERRE;2 rue Ronsard;75018;PARIS;;;;20
;;;LES ATELIERS DU SUDDEN;34 Rue Marcadet;75018;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL GUSTAVE CHARPENTI;29 rue Baudelique;75018;PARIS;;;;20
;;;LA FÉMIS;6, rue Francoeur;75018;PARIS;;;;20
;;;KIOSQUE JEUNES GOUTTE D'OR;Hall du Centre Musical Fleury Goutte d'Or Barbara 1 rue Fleury;75018;PARIS;;;;20
;;;CENTRE D'ANIMATION CURIAL;90, rue Curial;75019;PARIS;;;;20
;;;CENTRE D'ANIMATION MATHIS;15, rue Mathis;75019;PARIS;;;;20
;;;CENTRE D'ANIMATION PLACE DES FÊTES;2/4, rue des Lilas;75019;PARIS;;;;20
;;;CENTRE D'ANIMATION RÉBEVAL;36, rue Rébeval;75019;PARIS;;;;20
;;;CENTRE D'ANIMATION SOLIDARITÉ ANGÈLE MERCIER;133/135, Boulevard Sérurier;75019;PARIS;;;;20
;;;CENTRE SOCIAL  ESPACE ARDENNES / ESPACE 19;15-19 rue des Ardennes;75019;PARIS;;;;20
;;;CENTRE SOCIAL - ESPACE 19;251 rue de Crimée;75019;PARIS;;;;20
;;;CENTRE SOCIAL ESPACE 19 MULTIMEDIA;175 bis rue de Crimée;75019;PARIS;;;;20
;;;CENTRE SOCIAL ESPACE ARDENNES;15-19 rue des Ardennes;75019;PARIS;;;;20
;;;CENTRE SOCIAL ESPACE CAMBRAI / ESPACE 19;28 rue Bernard tetu;75019;PARIS;;;;20
;;;CENTRE SOCIAL ESPACE RIQUET / ESPACE 19;53 rue Riquet;75019;PARIS;;;;20
;;;CENTRE SOCIAL J2P;32 rue Petit;75019;PARIS;;;;20
;;;CENTRE SOCIAL TANGER;28 rue de tanger;75019;PARIS;;;;20
;;;ESPACE JEUNES SAINT BLAISE;9 rue du Docteur Potain;75019;PARIS;;;;20
;;;CITÉ DE LA MUSIQUE;221, avenue Jean Jaures;75019;PARIS;;;;20
;;;FRAC / LE PLATEAU;33 rue des Alouettes;75019;PARIS;;;;20
;;;LA VILLETTE;211 avenue Jean Jaurès;75019;PARIS;;;;20
;;;L'ATELIER DU PLATEAU;5 rue du Plateau;75019;PARIS;;;;20
;;;LE CENTQUATRE;104 Rue d'Aubervilliers;75019;PARIS;;;;20
;;;LE GRAND PARQUET;Jardin d'Eole - 35 rue d'Aubervilliers;75019;PARIS;;;;20
;;;ESPACE PÉRIPHÉRIQUE - PARC DE LA VILLETTE;211 ave Jean-Jaurès;75019;PARIS;;;;20
;;;L'ATELIER DU PLATEAU;5 rue du Plateau;75019;PARIS;;;;20
;;;CNSMDP - CONSERVATOIRE NATIONAL MUSIQUE DANSE;209 avenue jean-Jaurès;75019;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL ARMAND CARREL 19ÈME;81 rue Armand Carrel;75019;PARIS;;;;20
;;;COURS FLORENT;37-39 avenue jean Jaures;75019;PARIS;;;;20
;;;COURS FLORENT;37-39 avenue jean Jaures;75019;PARIS;;;;20
;;;ENSAPLV - ECOLE D'ARCHITECTURE DE LA VILLETTE;144, avenue de Flandre;75019;PARIS;;;;20
;;;ECOLE D'ARCHITECTURE DE BELLEVILLE;60 boulevard de la Villette;75019;PARIS;;;;20
;;;AUTRE MONDE;30 rue de la mare;75020;PARIS;;;;20
;;;CENTRE D'ANIMATION DES AMANDIERS;110, rue des Amandiers;75020;PARIS;;;;20
;;;CENTRE D'ANIMATION LES AMANDIERS;110, rue des Amandiers;75020;PARIS;;;;20
;;;CENTRE D'ANIMATION LOUIS LUMIÈRE;46, rue Louis Lumière;75020;PARIS;;;;20
;;;CENTRE SOCIAL ANNAM;4  rue d'Annam;75020;PARIS;;;;20
;;;CENTRE SOCIAL ARCHIPÉLIA;17 rue des Envierges;75020;PARIS;;;;20
;;;CENTRE SOCIAL CROIX SAINT SIMON;125 rue d'avron;75020;PARIS;;;;20
;;;CENTRE SOCIAL ETINCELLES;65 rue des Haies;75020;PARIS;;;;20
;;;CENTRE SOCIAL LA 20ÈME CHAISE;38, rue des Amandiers;75020;PARIS;;;;20
;;;CENTRE SOCIAL MAISON DU BAS BELLEVILLE;126 boulevard de Belleville;75020;PARIS;;;;20
;;;CENTRE SOCIAL RELAIS MENILMONTANT;85 bis rue de Ménilmontant;75020;PARIS;;;;20
;;;CENTRE SOCIAL SOLEIL  BLAISE;50 rue Mouraud;75020;PARIS;;;;20
;;;MÉMOIRE DE L'AVENIR;45/47 rue Ramponeau;75020;PARIS;;;;20
;;;MÔM'PELLEPORT;165 bis rue Pelleport;75020;PARIS;;;;20
;;;CONFLUENCES;190 boulevard de Charonne;75020;PARIS;;;;20
;;;HIP HOP CITOYEN;23 rue Boyer;75020;PARIS;;;;20
;;;LA BELLEVILLOISE;19-21, rue Boyer;75020;PARIS;;;;20
;;;LA COLLINE;15, rue Malte Brun;75020;PARIS;;;;20
;;;LE TARMAC;159 avenue Gambetta;75020;PARIS;;;;20
;;;VINGTIÈME THÉÂTRE;7, rue des Plâtrières;75020;PARIS;;;;20
;;;LA MAROQUINERIE;23 rue Boyer;75020;PARIS;;;;20
;;;LE CIRQUE ELECTRIQUE;Place du Maquis du Vercors;75020;PARIS;;;;20
;;;DAAC RECTORAT DE L'ACADEMIE DE PARIS;Rectorat de l'académie de Paris;75020;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL GEORGES BIZET;54  Rue des Cendriers;75020;PARIS;;;;20
;;;ECOLE AUVRAY NAUROY;8 rue Désirée;75020;PARIS;;;;20
;;;CITÉ DE L'ARCHITECTURE ET DU PATRIMOINE;1, place du Trocadéro et du 11 novembre;75116;PARIS;;;;20
;;;MUSEE D'ART MODERNE DE LA VILLE DE PARIS;11 avenue du président Wilson;75116;PARIS;;;;20
;;;CITÉ INTERNATIONALE DES ARTS;18, rue de l'Hotel de Ville;75180;PARIS;;;;20
;;;CENTRE POMPIDOU;Les Spectacles vivants - Centre Pompidou;75191;PARIS;;;;20
;;;UNIVERSITÉ PARIS 1 - PANTHÉON SORBONNE;12 place du Panthéon;75231;PARIS;;;;20
;;;BILLETTERIE - BUREAU DE LA VIE ÉTUDIANTE - TOLBIAC;Centre Pierre-Mendès-France 90 RUE DE TOLBIAC;75634;PARIS;;;;20
;;;WIP VILLETTE;211 avenue Jean Jaurès;75935;PARIS;;;;20
;;;CNAM Conservatoire National des Arts et Métiers;292 rue Saint-Martin;;PARIS;;;;20
;;;LIBRAIRIE THÉÂTRALE;3 rue de Marivaux;75002;PARIS ;;;;20
;;;LIBRAIRIE FICHBACHER;33 rue Seine;75006;PARIS ;;;;20
;;;LIBRAIRIE COURANT D'ART;79 rue de Vaugirard;75006;PARIS ;;;;20
;;;LIBRAIRIE LA HUNE;18 rue de l'Abbaye;75006;PARIS ;;;;20
;;;LIBRAIRIE IMAGIGRAPHE;82 rue Oberkampf;75011;PARIS ;;;;20
